ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
29,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
30,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
31,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
32,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,Oui,Oui,,,,Non,Oui,Oui,,,Oui,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
33,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
34,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
35,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
36,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
37,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
38,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,Oui,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
39,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
40,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
41,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
42,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
43,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,Oui,,,,,,,Oui,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
44,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
45,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,Oui,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
46,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
47,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
48,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
49,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
50,2020-05-13,1,Arrondissement,Outremont,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
51,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
52,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,Oui,,,,,Sans réponse,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
53,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,Oui,,Oui,,,,,,,Oui,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
54,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
55,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,Oui,Oui,Site transactionnel,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
56,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
57,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,Oui,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
58,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
59,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
60,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
61,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,Oui,,,,,Oui,Oui,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
62,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
63,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
64,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
65,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
66,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,Oui,,Oui,,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
67,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
68,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,Oui,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
69,2020-05-13,1,Arrondissement,Verdun,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,Oui,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
70,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,Oui,,Oui,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
71,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,Oui,,Oui,,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
72,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
73,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
74,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
75,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
76,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
77,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
78,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
79,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
80,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,Oui,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
81,2020-05-14,1,,,Ouvert,,Oui,Oui,,,Oui,,,,,,Oui,Oui,,Oui,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
82,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
83,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
84,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
85,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,Oui,,,,,Non,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non,Oui,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
86,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
